num.roi,param,v,p,m,p.fdr,roi,hemi,community,community.short
7,incongruency,2539,0.344422051612789,0.0298292308511198,0.520974531851278,V8_L,L,ventral stream visual cortex,v vis.
7,target,3784,7.46473143691157e-07,0.0408353552707222,9.59751184745773e-06,V8_L,L,ventral stream visual cortex,v vis.
8,congruency,2656,0.207529656246617,0.00572232109709305,0.94570476264281,4_L,L,somatosensory and motor cortex,M1 and S1
8,distractor,2242,0.742805273141371,-0.00476735797346622,0.999918495817204,4_L,L,somatosensory and motor cortex,M1 and S1
8,incongruency,2074,0.893863406709032,-0.0107565259622465,0.943668112654697,4_L,L,somatosensory and motor cortex,M1 and S1
8,target,4302,1.48803180447816e-11,0.065625221337845,2.67845724806069e-09,4_L,L,somatosensory and motor cortex,M1 and S1
9,congruency,2711,0.156266943710043,0.00364676146788706,0.922231143206813,3b_L,L,somatosensory and motor cortex,M1 and S1
9,distractor,1827,0.983106417191182,-0.0113897567112649,0.999918495817204,3b_L,L,somatosensory and motor cortex,M1 and S1
9,incongruency,2296,0.677480518272806,-0.00371037235864328,0.802279561112533,3b_L,L,somatosensory and motor cortex,M1 and S1
9,target,4350,4.62090607533466e-12,0.0744541173768156,1.66352618712048e-09,3b_L,L,somatosensory and motor cortex,M1 and S1
10,congruency,2646,0.217817023624038,0.00693674527788614,0.965455189535917,FEF_L,L,premotor cortex,PM
10,distractor,1897,0.969572824616979,-0.00593067062596002,0.999918495817204,FEF_L,L,premotor cortex,PM
10,incongruency,2647,0.216775236945497,0.0347221046955579,0.368108892926315,FEF_L,L,premotor cortex,PM
10,target,3576,2.29959513969324e-05,0.0352047916419872,0.000103481781286196,FEF_L,L,premotor cortex,PM
11,congruency,2049,0.909213681690942,-0.0116075374365519,0.999998713932226,PEF_L,L,premotor cortex,PM
11,distractor,2598,0.271098112835558,0.00179274968197843,0.787059037264523,PEF_L,L,premotor cortex,PM
11,incongruency,3320,0.000767568939187143,0.0824046624448702,0.0095533578956247,PEF_L,L,premotor cortex,PM
11,target,3296,0.00102492888108161,0.029203255029246,0.00210842512679645,PEF_L,L,premotor cortex,PM
12,congruency,2471,0.436652855310768,0.00766957590859053,0.999998713932226,55b_L,L,premotor cortex,PM
12,distractor,2254,0.728901887164442,-0.00398922352227301,0.999918495817204,55b_L,L,premotor cortex,PM
12,incongruency,2850,0.0664870278825184,0.0326556143813405,0.183972362707149,55b_L,L,premotor cortex,PM
12,target,3910,7.25511950491819e-08,0.0481786003766881,2.00911001674658e-06,55b_L,L,premotor cortex,PM
13,congruency,2468,0.440843796729842,-6.78690837670893e-05,0.999998713932226,V3A_L,L,dorsal stream visual cortex,d vis.
13,distractor,2787,0.100407809717028,0.00843184018201849,0.624153246045029,V3A_L,L,dorsal stream visual cortex,d vis.
13,incongruency,2983,0.0242038152756873,0.0477844375127723,0.095751357134587,V3A_L,L,dorsal stream visual cortex,d vis.
13,target,2669,0.19459445629334,0.0125245817347785,0.205436962655726,V3A_L,L,dorsal stream visual cortex,d vis.
14,congruency,1099,0.999998713932226,-0.0424906782139784,0.999998713932226,RSC_L,L,posterior cingulate cortex,pCC
14,distractor,2508,0.385688836481519,0.00327977713146937,0.951013569406486,RSC_L,L,posterior cingulate cortex,pCC
14,incongruency,3696,3.3921985387356e-06,0.0940894473282144,0.000203531912324136,RSC_L,L,posterior cingulate cortex,pCC
14,target,3006,0.0199262420644913,0.0160093119847069,0.0264702846613169,RSC_L,L,posterior cingulate cortex,pCC
15,congruency,2380,0.56474257051797,0.000178124888327043,0.999998713932226,POS2_L,L,posterior cingulate cortex,pCC
15,distractor,2758,0.119704044154504,0.0101339642384955,0.62660680393575,POS2_L,L,posterior cingulate cortex,pCC
15,incongruency,2510,0.38298115959859,0.0190025870085762,0.562747826348948,POS2_L,L,posterior cingulate cortex,pCC
15,target,3766,1.0251957572811e-06,0.043423374987408,1.19054991168128e-05,POS2_L,L,posterior cingulate cortex,pCC
16,congruency,2033,0.918133504853901,-0.011301260802358,0.999998713932226,V7_L,L,dorsal stream visual cortex,d vis.
16,distractor,3150,0.0051506225515229,0.0228291325027422,0.168565828958931,V7_L,L,dorsal stream visual cortex,d vis.
16,incongruency,2773,0.109419490990197,0.027039736426354,0.246117479555351,V7_L,L,dorsal stream visual cortex,d vis.
16,target,3456,0.000131179229248291,0.0301800615964737,0.000396844727137688,V7_L,L,dorsal stream visual cortex,d vis.
17,congruency,2235,0.750740933236912,-0.00738675712479359,0.999998713932226,IPS1_L,L,dorsal stream visual cortex,d vis.
17,distractor,2771,0.110752865799908,0.0110662907128181,0.62660680393575,IPS1_L,L,dorsal stream visual cortex,d vis.
17,incongruency,3621,1.14492432014544e-05,0.095128282425805,0.000343477296043632,IPS1_L,L,dorsal stream visual cortex,d vis.
17,target,2712,0.155419525903471,0.00764821562716251,0.168021109084833,IPS1_L,L,dorsal stream visual cortex,d vis.
18,congruency,2461,0.450647663350627,0.00346171222495053,0.999998713932226,FFC_L,L,ventral stream visual cortex,v vis.
18,distractor,2405,0.529659959630515,0.00413261081678674,0.999918495817204,FFC_L,L,ventral stream visual cortex,v vis.
18,incongruency,2598,0.271098112835558,0.0236718966129794,0.439618561354959,FFC_L,L,ventral stream visual cortex,v vis.
18,target,3459,0.000125854394827723,0.028302955813226,0.000383962560491359,FFC_L,L,ventral stream visual cortex,v vis.
19,congruency,2634,0.230541711098337,0.00807720138486673,0.976411952887075,V3B_L,L,dorsal stream visual cortex,d vis.
19,distractor,2960,0.0292275005510878,0.0158970297406829,0.365762987066049,V3B_L,L,dorsal stream visual cortex,d vis.
19,incongruency,2432,0.491518542906972,0.00987091359826326,0.648156320316886,V3B_L,L,dorsal stream visual cortex,d vis.
19,target,3631,9.77319834885749e-06,0.0327912888173898,5.49742407123234e-05,V3B_L,L,dorsal stream visual cortex,d vis.
20,congruency,1944,0.956182209873045,-0.0108887573928115,0.999998713932226,LO1_L,L,MT+ complex and neighbors,MT+
20,distractor,2287,0.688837252415289,-0.000164176607157816,0.999918495817204,LO1_L,L,MT+ complex and neighbors,MT+
20,incongruency,2504,0.391120810426235,0.0189000600461046,0.572371917696929,LO1_L,L,MT+ complex and neighbors,MT+
20,target,3082,0.0100470405787956,0.016987694840078,0.0147629984014955,LO1_L,L,MT+ complex and neighbors,MT+
21,congruency,1812,0.985213254926983,-0.0155347677647141,0.999998713932226,LO2_L,L,MT+ complex and neighbors,MT+
21,distractor,2808,0.0879246065763896,0.0115020963896878,0.608708814759621,LO2_L,L,MT+ complex and neighbors,MT+
21,incongruency,2888,0.0508013864444243,0.0383913365092513,0.152404159333273,LO2_L,L,MT+ complex and neighbors,MT+
21,target,3309,0.000877075774793178,0.0224952693739031,0.00187944808884253,LO2_L,L,MT+ complex and neighbors,MT+
22,congruency,2084,0.887225306280746,-0.0129787406003191,0.999998713932226,PIT_L,L,ventral stream visual cortex,v vis.
22,distractor,2562,0.314929090669427,0.00174891716899953,0.839810908451806,PIT_L,L,ventral stream visual cortex,v vis.
22,incongruency,2150,0.835969576238107,-0.0114906914065509,0.909211623703077,PIT_L,L,ventral stream visual cortex,v vis.
22,target,2859,0.0624694699885878,0.0195401895695983,0.0725451909544891,PIT_L,L,ventral stream visual cortex,v vis.
23,congruency,1887,0.971932620552874,-0.0160935725934083,0.999998713932226,MT_L,L,MT+ complex and neighbors,MT+
23,distractor,2156,0.830657257669004,-0.00245833327411879,0.999918495817204,MT_L,L,MT+ complex and neighbors,MT+
23,incongruency,2894,0.0486189803954551,0.0359063351408453,0.149596862755246,MT_L,L,MT+ complex and neighbors,MT+
23,target,2733,0.138324454908772,0.0125358482143458,0.150899405355024,MT_L,L,MT+ complex and neighbors,MT+
24,congruency,1827,0.983106417191182,-0.0156219630663492,0.999998713932226,A1_L,L,early auditory cortex,early aud.
24,distractor,1896,0.969815969824263,-0.0129824112017468,0.999918495817204,A1_L,L,early auditory cortex,early aud.
24,incongruency,2739,0.133684982613179,0.0361378671037607,0.276589619199682,A1_L,L,early auditory cortex,early aud.
24,target,3271,0.00137527497546453,0.0246354521886729,0.00273535354236039,A1_L,L,early auditory cortex,early aud.
25,congruency,2694,0.171137785068933,0.0228513864948857,0.928397170351329,PSL_L,L,tempo-parieto-occipital junction,TPOJ
25,distractor,2740,0.132922262240245,0.0100553353899823,0.645363391766608,PSL_L,L,tempo-parieto-occipital junction,TPOJ
25,incongruency,2883,0.0526790348446929,0.043698727439315,0.15673101276107,PSL_L,L,tempo-parieto-occipital junction,TPOJ
25,target,3051,0.0133891083217931,0.0209648553681755,0.0188284335775216,PSL_L,L,tempo-parieto-occipital junction,TPOJ
26,congruency,1727,0.993374668263128,-0.0203435485142392,0.999998713932226,SFL_L,L,dorsolateral prefrontal cortex,dlPFC
26,distractor,2693,0.172039852852677,0.0097959904363625,0.690010690627406,SFL_L,L,dorsolateral prefrontal cortex,dlPFC
26,incongruency,3482,9.12744729067212e-05,0.0694873839117298,0.00193287119096586,SFL_L,L,dorsolateral prefrontal cortex,dlPFC
26,target,3537,4.1268078925222e-05,0.036353851934483,0.000162121917481628,SFL_L,L,dorsolateral prefrontal cortex,dlPFC
27,congruency,2264,0.717036221310429,-0.0066023001550742,0.999998713932226,PCV_L,L,posterior cingulate cortex,pCC
27,distractor,1916,0.964636340379323,-0.0132139105206641,0.999918495817204,PCV_L,L,posterior cingulate cortex,pCC
27,incongruency,3217,0.00253172368678958,0.0603920253715125,0.0191975915971844,PCV_L,L,posterior cingulate cortex,pCC
27,target,3009,0.0194187072171095,0.0179368899180344,0.0260848305901471,PCV_L,L,posterior cingulate cortex,pCC
28,congruency,2471,0.436652855310768,0.0012513114623462,0.999998713932226,STV_L,L,tempo-parieto-occipital junction,TPOJ
28,distractor,2461,0.450647663350627,0.000752357996875991,0.999496041303893,STV_L,L,tempo-parieto-occipital junction,TPOJ
28,incongruency,2615,0.251513033008613,0.0196761697972077,0.413446081657994,STV_L,L,tempo-parieto-occipital junction,TPOJ
28,target,3477,9.79291828755916e-05,0.023493295209313,0.000314772373528687,STV_L,L,tempo-parieto-occipital junction,TPOJ
29,congruency,2627,0.238152211812962,0.0107751877124121,0.985457428191566,7Pm_L,L,superior parietal cortex,sP
29,distractor,2620,0.245898359695215,0.00479152946038041,0.743894197397288,7Pm_L,L,superior parietal cortex,sP
29,incongruency,2712,0.155419525903471,0.021108828337724,0.307423238050821,7Pm_L,L,superior parietal cortex,sP
29,target,3086,0.00967390796493344,0.0162768764605405,0.0143317155036051,7Pm_L,L,superior parietal cortex,sP
30,congruency,2300,0.672378585672011,-0.00378932348903061,0.999998713932226,7m_L,L,posterior cingulate cortex,pCC
30,distractor,2048,0.909791484564261,-0.00732233884653297,0.999918495817204,7m_L,L,posterior cingulate cortex,pCC
30,incongruency,2920,0.0400137069429642,0.0378288878797034,0.134625556069786,7m_L,L,posterior cingulate cortex,pCC
30,target,3075,0.0107303020331563,0.0183322306720018,0.0155762448868397,7m_L,L,posterior cingulate cortex,pCC
31,congruency,1522,0.999320908908602,-0.0243383579415807,0.999998713932226,POS1_L,L,posterior cingulate cortex,pCC
31,distractor,2427,0.498586320274479,0.00396137591427945,0.999918495817204,POS1_L,L,posterior cingulate cortex,pCC
31,incongruency,3317,0.000796113157968725,0.0696325498434926,0.0095533578956247,POS1_L,L,posterior cingulate cortex,pCC
31,target,3022,0.0173444304467543,0.014926596033833,0.0233857489169721,POS1_L,L,posterior cingulate cortex,pCC
32,congruency,2373,0.574487037303028,0.001686480374894,0.999998713932226,23d_L,L,posterior cingulate cortex,pCC
32,distractor,2869,0.0582302879203332,0.0114105548010112,0.524072591282999,23d_L,L,posterior cingulate cortex,pCC
32,incongruency,2384,0.559156203270158,0.0141771145733277,0.698945254087697,23d_L,L,posterior cingulate cortex,pCC
32,target,3128,0.00643057646966511,0.0276138582137727,0.0100216776150625,23d_L,L,posterior cingulate cortex,pCC
33,congruency,2411,0.521195259258671,-0.00020887894402698,0.999998713932226,v23ab_L,L,posterior cingulate cortex,pCC
33,distractor,2191,0.797504476954955,-0.0035393159317102,0.999918495817204,v23ab_L,L,posterior cingulate cortex,pCC
33,incongruency,3157,0.00479385324560375,0.0538768872378283,0.030276967866971,v23ab_L,L,posterior cingulate cortex,pCC
33,target,2666,0.19753511829257,0.0100291701274445,0.207325488586954,v23ab_L,L,posterior cingulate cortex,pCC
34,congruency,1312,0.999960521620802,-0.0341937577265564,0.999998713932226,d23ab_L,L,posterior cingulate cortex,pCC
34,distractor,1979,0.943400741117842,-0.00355872237017881,0.999918495817204,d23ab_L,L,posterior cingulate cortex,pCC
34,incongruency,3181,0.00373199987135765,0.0575182847712194,0.0258369221863222,d23ab_L,L,posterior cingulate cortex,pCC
34,target,2840,0.071182468493404,0.0103144102947709,0.0821336174923892,d23ab_L,L,posterior cingulate cortex,pCC
35,congruency,1522,0.999320908908602,-0.026880562100567,0.999998713932226,31pv_L,L,posterior cingulate cortex,pCC
35,distractor,2036,0.916513385673151,-0.00931153639772068,0.999918495817204,31pv_L,L,posterior cingulate cortex,pCC
35,incongruency,2912,0.0425186017709431,0.0385075745791324,0.140428409518711,31pv_L,L,posterior cingulate cortex,pCC
35,target,2668,0.195571703904911,0.0082838832433612,0.205864951478854,31pv_L,L,posterior cingulate cortex,pCC
36,congruency,2965,0.0280673794471263,0.02225463298998,0.594368035350911,5m_L,L,paracentral lobular and mid cingulate cortex,PL and mid cing.
36,distractor,2726,0.143874402012054,0.00488609533922739,0.664035701594093,5m_L,L,paracentral lobular and mid cingulate cortex,PL and mid cing.
36,incongruency,2142,0.842882600376295,-0.0140938632206134,0.911224432839238,5m_L,L,paracentral lobular and mid cingulate cortex,PL and mid cing.
36,target,3714,2.50788360455651e-06,0.0414828603121443,2.05498482798818e-05,5m_L,L,paracentral lobular and mid cingulate cortex,PL and mid cing.
37,congruency,2001,0.933969008412452,-0.00737791607083243,0.999998713932226,5mv_L,L,paracentral lobular and mid cingulate cortex,PL and mid cing.
37,distractor,2537,0.347035280126335,0.00495114396201081,0.886047523726814,5mv_L,L,paracentral lobular and mid cingulate cortex,PL and mid cing.
37,incongruency,2411,0.521195259258671,0.014937076791327,0.679200186816918,5mv_L,L,paracentral lobular and mid cingulate cortex,PL and mid cing.
37,target,3512,5.94641994129591e-05,0.0320825398796225,0.000211951601867973,5mv_L,L,paracentral lobular and mid cingulate cortex,PL and mid cing.
38,congruency,2287,0.688837252415289,-0.00221916112555056,0.999998713932226,23c_L,L,posterior cingulate cortex,pCC
38,distractor,2311,0.658183771447109,-0.00105843871174748,0.999918495817204,23c_L,L,posterior cingulate cortex,pCC
38,incongruency,2827,0.07766210502404,0.0320570184981386,0.205432573776439,23c_L,L,posterior cingulate cortex,pCC
38,target,3651,7.09560227619562e-06,0.0412875013131604,4.40416693005246e-05,23c_L,L,posterior cingulate cortex,pCC
39,congruency,3048,0.0137584843061723,0.0232699887854789,0.450277668202002,5L_L,L,paracentral lobular and mid cingulate cortex,PL and mid cing.
39,distractor,1765,0.990417461316076,-0.013576854219698,0.999918495817204,5L_L,L,paracentral lobular and mid cingulate cortex,PL and mid cing.
39,incongruency,2251,0.732412573131105,-0.00108880070296057,0.837042940721263,5L_L,L,paracentral lobular and mid cingulate cortex,PL and mid cing.
39,target,2916,0.041250743026615,0.0184238244413602,0.0503398897951912,5L_L,L,paracentral lobular and mid cingulate cortex,PL and mid cing.
40,congruency,2259,0.723000156143386,0.000858370843128078,0.999998713932226,24dd_L,L,paracentral lobular and mid cingulate cortex,PL and mid cing.
40,distractor,2541,0.341816228552891,0.00519134498093047,0.885279440856409,24dd_L,L,paracentral lobular and mid cingulate cortex,PL and mid cing.
40,incongruency,2803,0.0907863183090578,0.0501732658047289,0.223500010214071,24dd_L,L,paracentral lobular and mid cingulate cortex,PL and mid cing.
40,target,3491,8.03545427302263e-05,0.0354814136819331,0.000275501289360776,24dd_L,L,paracentral lobular and mid cingulate cortex,PL and mid cing.
41,congruency,2521,0.368194219574955,0.00206933849088964,0.999998713932226,24dv_L,L,paracentral lobular and mid cingulate cortex,PL and mid cing.
41,distractor,2350,0.606155143414811,-0.00306150449487622,0.999918495817204,24dv_L,L,paracentral lobular and mid cingulate cortex,PL and mid cing.
41,incongruency,2531,0.354918287387402,0.0116331131845066,0.532377431081103,24dv_L,L,paracentral lobular and mid cingulate cortex,PL and mid cing.
41,target,3154,0.00494396470424527,0.0268681849462706,0.00827826648152697,24dv_L,L,paracentral lobular and mid cingulate cortex,PL and mid cing.
42,congruency,2819,0.0818664951460987,0.0180971098869766,0.768884780991769,7AL_L,L,superior parietal cortex,sP
42,distractor,2099,0.876720881918001,-0.0032818995709565,0.999918495817204,7AL_L,L,superior parietal cortex,sP
42,incongruency,2437,0.484453427457651,0.0152236765986869,0.648156320316886,7AL_L,L,superior parietal cortex,sP
42,target,2745,0.129153634058464,0.0111016511652526,0.142623644972537,7AL_L,L,superior parietal cortex,sP
43,congruency,1887,0.971932620552874,-0.0176963346103845,0.999998713932226,SCEF_L,L,paracentral lobular and mid cingulate cortex,PL and mid cing.
43,distractor,2784,0.102291781990713,0.00612258454726726,0.624153246045029,SCEF_L,L,paracentral lobular and mid cingulate cortex,PL and mid cing.
43,incongruency,3538,4.06631607002098e-05,0.105284041597283,0.000975915856805035,SCEF_L,L,paracentral lobular and mid cingulate cortex,PL and mid cing.
43,target,3778,8.30107768396002e-07,0.0347056818533877,9.96129322075202e-06,SCEF_L,L,paracentral lobular and mid cingulate cortex,PL and mid cing.
44,congruency,1630,0.997603955387817,-0.0156294475001559,0.999998713932226,6ma_L,L,paracentral lobular and mid cingulate cortex,PL and mid cing.
44,distractor,2764,0.115511263592118,0.00521612915856966,0.62660680393575,6ma_L,L,paracentral lobular and mid cingulate cortex,PL and mid cing.
44,incongruency,3676,4.72322057460716e-06,0.0912960952169901,0.000242908486694082,6ma_L,L,paracentral lobular and mid cingulate cortex,PL and mid cing.
44,target,2908,0.0438177901269553,0.0122414977219247,0.0531124728811579,6ma_L,L,paracentral lobular and mid cingulate cortex,PL and mid cing.
45,congruency,2369,0.580035340060331,0.00163512731492959,0.999998713932226,7Am_L,L,superior parietal cortex,sP
45,distractor,2563,0.313671477356499,0.00198962467943765,0.839810908451806,7Am_L,L,superior parietal cortex,sP
45,incongruency,2543,0.339217920470724,0.00790978969908412,0.519652984550897,7Am_L,L,superior parietal cortex,sP
45,target,3133,0.0061172240526842,0.023664988797635,0.00965877482002768,7Am_L,L,superior parietal cortex,sP
46,congruency,2222,0.765126175635626,-0.00888780565387498,0.999998713932226,7PL_L,L,superior parietal cortex,sP
46,distractor,2338,0.622416952835692,0.0045592358340975,0.999918495817204,7PL_L,L,superior parietal cortex,sP
46,incongruency,2663,0.200502487097624,0.0263240893151803,0.352101928561681,7PL_L,L,superior parietal cortex,sP
46,target,2577,0.296297226312195,0.00592217532373352,0.306514372047098,7PL_L,L,superior parietal cortex,sP
47,congruency,2801,0.0919501550835563,0.020791249761244,0.768884780991769,7PC_L,L,superior parietal cortex,sP
47,distractor,2436,0.485866131189392,0.0033324868146469,0.999496041303893,7PC_L,L,superior parietal cortex,sP
47,incongruency,2644,0.219909237616514,0.0151432000077769,0.369940773560491,7PC_L,L,superior parietal cortex,sP
47,target,3782,7.73408016452118e-07,0.0379238623505268,9.60092710078492e-06,7PC_L,L,superior parietal cortex,sP
48,congruency,2389,0.552156783611939,0.00276683939542715,0.999998713932226,LIPv_L,L,superior parietal cortex,sP
48,distractor,2290,0.685070909330573,0.00184679860916934,0.999918495817204,LIPv_L,L,superior parietal cortex,sP
48,incongruency,2665,0.198521278395104,0.0193713948094253,0.35205743951841,LIPv_L,L,superior parietal cortex,sP
48,target,3234,0.00209686120441255,0.0191274567911165,0.00391124369734983,LIPv_L,L,superior parietal cortex,sP
49,congruency,2548,0.332755737356902,0.0077577982977125,0.999998713932226,VIP_L,L,superior parietal cortex,sP
49,distractor,2538,0.345727747074529,0.00479483593066854,0.886047523726814,VIP_L,L,superior parietal cortex,sP
49,incongruency,3100,0.00846162670841239,0.0452245098993809,0.0435169373575495,VIP_L,L,superior parietal cortex,sP
49,target,3316,0.000805842959022758,0.0270021385017773,0.00177977586041836,VIP_L,L,superior parietal cortex,sP
50,congruency,1829,0.982806980715946,-0.0158716634532359,0.999998713932226,MIP_L,L,superior parietal cortex,sP
50,distractor,2337,0.623762799253621,0.00413479321387189,0.999918495817204,MIP_L,L,superior parietal cortex,sP
50,incongruency,3814,4.3608331086452e-07,0.134889535338044,5.23299973037424e-05,MIP_L,L,superior parietal cortex,sP
50,target,2860,0.0620350159695024,0.00838320728967462,0.0722738050130125,MIP_L,L,superior parietal cortex,sP
51,congruency,2349,0.607517824952856,-0.00175427530020945,0.999998713932226,1_L,L,somatosensory and motor cortex,M1 and S1
51,distractor,1816,0.984674793478322,-0.0137044497655897,0.999918495817204,1_L,L,somatosensory and motor cortex,M1 and S1
51,incongruency,2707,0.159686997374811,0.0276435717628353,0.310742265161794,1_L,L,somatosensory and motor cortex,M1 and S1
51,target,3302,0.00095405719230401,0.0233846672704888,0.00202035640723202,1_L,L,somatosensory and motor cortex,M1 and S1
52,congruency,2197,0.791454713431313,-0.00677441472579403,0.999998713932226,2_L,L,somatosensory and motor cortex,M1 and S1
52,distractor,1798,0.986971672638639,-0.0139487830415875,0.999918495817204,2_L,L,somatosensory and motor cortex,M1 and S1
52,incongruency,2926,0.0382148366490858,0.0336584053431257,0.130788625138802,2_L,L,somatosensory and motor cortex,M1 and S1
52,target,3712,2.5939772839374e-06,0.0385639205873847,2.05498482798818e-05,2_L,L,somatosensory and motor cortex,M1 and S1
53,congruency,3234,0.00209686120441255,0.0203446569463831,0.251623344529506,3a_L,L,somatosensory and motor cortex,M1 and S1
53,distractor,2147,0.838584745746625,-0.00431392625105831,0.999918495817204,3a_L,L,somatosensory and motor cortex,M1 and S1
53,incongruency,1734,0.992899831506615,-0.0251109778679123,0.994356050711741,3a_L,L,somatosensory and motor cortex,M1 and S1
53,target,4021,7.92933523262339e-09,0.0628104868505537,4.0779438339206e-07,3a_L,L,somatosensory and motor cortex,M1 and S1
54,congruency,2560,0.317450753664531,0.0079880680807188,0.999998713932226,6d_L,L,premotor cortex,PM
54,distractor,2524,0.364194038654113,0.00369231158050958,0.916852125283081,6d_L,L,premotor cortex,PM
54,incongruency,2939,0.0345431492848075,0.0316704856824499,0.1231240964607,6d_L,L,premotor cortex,PM
54,target,3710,2.68289685876235e-06,0.039782172364093,2.05498482798818e-05,6d_L,L,premotor cortex,PM
55,congruency,2430,0.494345458607487,0.000594218069212524,0.999998713932226,6mp_L,L,paracentral lobular and mid cingulate cortex,PL and mid cing.
55,distractor,2665,0.198521278395104,0.00979972791547533,0.70066333551213,6mp_L,L,paracentral lobular and mid cingulate cortex,PL and mid cing.
55,incongruency,2764,0.115511263592118,0.0387451745334855,0.252005893809618,6mp_L,L,paracentral lobular and mid cingulate cortex,PL and mid cing.
55,target,3489,8.26692857732639e-05,0.0337624567348131,0.000278139653068925,6mp_L,L,paracentral lobular and mid cingulate cortex,PL and mid cing.
56,congruency,2913,0.0421987197352375,0.0195761343676392,0.611437324718835,6v_L,L,premotor cortex,PM
56,distractor,1832,0.982349328410866,-0.0116369696965408,0.999918495817204,6v_L,L,premotor cortex,PM
56,incongruency,2387,0.554958625866056,0.000209617553939925,0.697871323105811,6v_L,L,premotor cortex,PM
56,target,3736,1.72454740892101e-06,0.0360236843166136,1.72454740892101e-05,6v_L,L,premotor cortex,PM
57,congruency,2479,0.425512962696972,0.00177467049572411,0.999998713932226,p24pr_L,L,anterior cingulate and medial prefrontal cortex,aCC and mPFC
57,distractor,2678,0.185933566500347,0.011480473984475,0.690010690627406,p24pr_L,L,anterior cingulate and medial prefrontal cortex,aCC and mPFC
57,incongruency,2680,0.184041884493276,0.0256572848076849,0.345016453650578,p24pr_L,L,anterior cingulate and medial prefrontal cortex,aCC and mPFC
57,target,2725,0.144679346442396,0.00915729016044227,0.156881219033924,p24pr_L,L,anterior cingulate and medial prefrontal cortex,aCC and mPFC
58,congruency,2937,0.0350883982068161,0.0281761394567431,0.611437324718835,33pr_L,L,anterior cingulate and medial prefrontal cortex,aCC and mPFC
58,distractor,3058,0.0125603795374621,0.0159212494471362,0.251207590749242,33pr_L,L,anterior cingulate and medial prefrontal cortex,aCC and mPFC
58,incongruency,2097,0.878159788123604,-0.00367469900461968,0.935318117528099,33pr_L,L,anterior cingulate and medial prefrontal cortex,aCC and mPFC
58,target,3141,0.00564394928825942,0.0199727961415455,0.00911130826804211,33pr_L,L,anterior cingulate and medial prefrontal cortex,aCC and mPFC
59,congruency,2460,0.452050820310248,0.0015393718544093,0.999998713932226,a24pr_L,L,anterior cingulate and medial prefrontal cortex,aCC and mPFC
